ACS,K,D,A,DDA,HS,KAST,FK,FD,MK,WIN
203,11,14,1,-18,0.24,0.44,2,1,1,0
194,10,16,1,-21,0.26,0.50,0,0,0,0
160,9,15,4,-76,0.30,0.69,0,2,1,0
154,8,16,1,-94,0.39,0.56,5,4,0,0
152,9,14,5,-35,0.44,0.69,0,2,0,0
355,23,9,4,109,0.33,0.94,2,0,4,1
286,18,8,5,67,0.16,1.00,1,0,2,1
237,14,10,5,65,0.21,0.88,2,0,1,1
203,11,9,5,26,0.23,0.94,0,0,1,1
150,9,11,7,-23,0.36,0.69,2,3,0,1
203,11,14,1,-18,0.24,0.44,2,1,1,0
194,10,16,1,-21,0.26,0.50,0,0,0,0
160,9,15,4,-76,0.30,0.69,0,2,1,0
154,8,16,1,-94,0.39,0.56,5,4,0,0
152,9,14,5,-35,0.44,0.69,0,2,0,0
355,23,9,4,109,0.33,0.94,2,0,4,1
286,18,8,5,67,0.16,1.00,1,0,2,1
237,14,10,5,65,0.21,0.88,2,0,1,1
203,11,9,5,26,0.23,0.94,0,0,1,1
150,9,11,7,-23,0.36,0.69,2,3,0,1
203,12,19,5,-67,0.39,0.71,0,1,1,0
194,12,15,0,-40,0.33,0.47,4,5,2,0
148,7,17,2,-88,0.23,0.53,2,4,0,0
133,8,15,1,-49,0.19,0.53,0,1,0,0
123,6,16,5,-85,0.33,0.59,0,0,0,0
418,28,7,4,181,0.22,0.88,4,1,4,1
259,15,10,8,66,0.41,0.94,0,0,0,1
237,15,11,5,39,0.38,0.88,5,1,0,1
214,14,6,8,64,0.23,0.88,1,1,1,1
136,9,11,1,-21,0.32,0.59,1,3,1,1
282,20,16,4,56,0.16,0.68,5,4,4,0
272,20,16,5,41,0.33,0.77,2,1,2,0
155,11,16,6,-29,0.04,0.77,1,0,0,0
138,11,18,5,-56,0.16,0.59,0,2,1,0
136,11,20,0,-69,0.24,0.50,3,4,1,0
286,23,14,5,72,0.33,0.86,0,1,0,1
244,19,17,5,-8,0.29,0.64,9,6,3,1
224,18,11,11,30,0.21,0.73,0,1,2,1
192,15,16,3,1,0.20,0.77,1,0,1,1
144,13,16,5,-40,0.13,0.64,1,3,1,1
274,22,18,2,27,0.27,0.65,5,7,3,1
272,23,14,3,64,0.31,0.70,1,4,3,1
234,18,19,4,4,0.42,0.61,2,1,1,1
190,16,16,6,-12,0.29,0.74,0,0,1,1
168,13,17,6,-43,0.14,0.61,0,3,1,1
349,27,19,4,62,0.37,0.83,8,0,1,0
235,19,17,2,32,0.28,0.65,4,2,2,0
208,17,17,4,3,0.16,0.61,2,2,2,0
188,13,21,11,-8,0.19,0.65,2,0,0,0
101,8,18,7,-85,0.23,0.74,0,2,0,0
314,20,14,6,61,0.14,0.89,3,1,1,1
252,15,10,4,66,0.33,0.72,0,1,1,1
212,15,12,0,12,0.31,0.83,3,5,1,1
183,13,11,4,11,0.06,0.78,1,1,0,1
178,12,12,8,23,0.17,0.78,2,0,0,1
226,13,17,4,-33,0.12,0.83,4,1,0,0
217,16,14,5,-9,0.35,0.72,0,1,0,0
196,12,14,3,-37,0.25,0.67,3,2,0,0
171,10,14,4,-36,0.36,0.61,1,1,0,0
223,7,17,6,-58,0.14,0.67,2,2,0,0
209,14,17,5,-24,0.31,0.65,4,5,1,0
187,13,16,4,-15,0.21,0.65,1,2,0,0
186,14,15,4,-10,0.20,0.65,0,2,0,0
133,10,15,5,-58,0.19,0.55,0,3,1,0
119,8,17,3,-81,0.14,0.55,1,3,1,0
358,25,13,4,119,0.23,0.85,3,1,4,1
282,20,11,5,74,0.16,0.85,2,2,0,1
253,20,10,2,63,0.19,0.70,6,1,4,1
134,9,13,5,-37,0.11,0.75,2,0,0,1
96,5,12,9,-30,0.23,0.70,3,1,1,1
252,20,18,5,24,0.53,0.67,5,3,2,0
242,18,19,12,-4,0.10,0.75,3,1,1,0
194,17,22,5,-40,0.14,0.62,3,4,0,0
165,16,15,0,10,0.32,0.62,1,0,0,0
156,11,17,10,-13,0.21,0.62,2,1,0,0
302,26,17,3,51,0.32,0.67,4,3,2,1
239,21,19,2,-23,0.29,0.54,3,4,5,1
213,18,14,7,38,0.12,0.79,0,2,1,1
195,17,16,2,1,0.14,0.79,3,3,1,1
112,9,16,6,-43,0.29,0.75,2,0,0,1
327,25,13,7,104,0.26,0.78,1,1,3,1
321,26,14,5,56,0.32,0.78,7,3,3,1
251,23,19,1,6,0.25,0.61,3,6,3,1
136,12,16,4,-36,0.17,0.65,0,1,0,1
88,4,16,3,-68,0.10,0.70,0,1,0,1
346,26,17,8,85,0.18,0.83,8,1,2,0
256,21,18,4,15,0.29,0.57,2,5,2,0
195,15,17,6,3,0.20,0.83,0,1,0,0
144,8,16,8,-59,0.33,0.65,2,0,0,0
100,6,20,1,-105,0.04,0.35,1,0,0,0
334,24,14,9,112,0.39,0.77,3,4,3,1
224,18,13,1,28,0.18,0.68,4,2,2,1
206,18,14,5,5,0.23,0.86,1,0,1,1
200,14,13,1,10,0.19,0.77,3,1,0,1
165,13,15,1,10,0.15,0.73,0,2,1,1
280,22,19,4,-11,0.26,0.73,7,3,2,0
206,15,17,7,11,0.21,0.59,1,2,0,0
188,16,14,7,-16,0.36,0.77,1,0,0,0
137,10,20,3,-81,0.19,0.50,2,7,0,0
110,6,17,8,-68,0.10,0.59,0,1,0,0
337,22,9,7,110,0.35,0.94,3,1,5,1
290,19,11,3,61,0.31,0.78,5,3,2,1
194,12,11,3,16,0.33,0.78,2,2,0,1
191,14,15,0,-70,0.17,0.83,1,1,0,1
152,11,8,10,-6,0.23,0.89,0,0,0,1
253,17,13,4,34,0.38,0.67,2,1,1,0
202,12,16,3,-21,0.36,0.61,3,3,1,0
191,10,17,2,-38,0.28,0.61,2,0,0,0
172,9,12,7,-12,0.18,0.61,1,1,0,0
130,6,18,6,-75,0.20,0.39,0,4,0,0
313,23,10,7,94,0.29,0.70,6,0,3,1
236,19,9,1,46,0.17,0.80,1,1,1,1
220,15,18,4,-25,0.14,0.60,2,3,2,1
194,11,14,8,10,0.10,0.70,0,4,1,1
144,10,12,14,-17,0.41,0.75,2,1,1,1
246,17,19,3,-20,0.29,0.65,2,4,2,0
200,13,15,6,-3,0.30,0.60,3,1,1,0
191,14,15,5,3,0.18,0.65,2,3,1,0
172,11,13,3,-19,0.18,0.50,2,0,0,0
118,8,15,3,-68,0.24,0.70,1,0,0,0
314,23,10,5,105,0.49,0.84,2,0,4,1
298,21,13,1,53,0.23,0.74,1,3,3,1
218,16,12,2,23,0.36,0.63,2,3,2,1
167,10,12,6,12,0.32,0.63,2,4,0,1
124,9,9,3,-16,0.24,0.74,0,2,0,1
250,16,18,0,-9,0.18,0.74,5,2,1,0
230,15,18,4,-28,0.28,0.68,3,2,1,0
186,12,14,4,-1,0.28,0.53,2,0,0,0
133,7,15,4,-56,0.36,0.63,2,7,0,0
86,8,14,2,-82,0.04,0.63,2,1,0,0
298,22,17,6,63,0.23,0.68,7,5,3,1
229,16,22,13,-17,0.26,0.86,3,0,1,1
221,19,16,3,3,0.19,0.68,2,1,2,1
202,17,11,3,36,0.14,0.82,2,0,1,1
164,12,15,10,-47,0.19,0.73,1,1,1,1
253,18,19,8,14,0.31,0.77,2,2,1,0
241,19,17,3,-7,0.26,0.77,2,2,1,0
203,15,17,4,-19,0.34,0.64,0,1,0,0
179,15,14,3,28,0.33,0.64,1,0,1,0
160,8,20,2,-54,0.33,0.41,3,2,0,0
